experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
25%;graph;user;10;ew;weighted_voting;0,997340426;0,593351064;0,4375
25%;graph;user;10;jn;weighted_voting;0,994680851;0,588031915;0,489583333
25%;graph;user;10;pa;weighted_voting;0,994680851;0,588031915;0,489583333
25%;graph;user;10;waa;weighted_voting;0,994680851;0,588031915;0,441710993
25%;graph;user;10;wcn;weighted_voting;0,994680851;0,588031915;0,441710993
25%;graph;user;10;wpa;weighted_voting;0,994680851;0,588031915;0,441710993
25%;graph;user;3;aa;positional_voting;0,968085106;0,773049645;0,481161348
25%;graph;user;3;cn;positional_voting;0,960106383;0,764184397;0,478945035
25%;graph;user;3;ew;positional_voting;0,965425532;0,779255319;0,38962766
25%;graph;user;3;jn;positional_voting;0,97606383;0,779255319;0,393794326
25%;graph;user;3;pa;positional_voting;0,954787234;0,727836879;0,488253546
25%;graph;user;3;waa;positional_voting;0,968085106;0,762411348;0,475531915
25%;graph;user;3;wcn;positional_voting;0,968085106;0,762411348;0,475531915
25%;graph;user;3;wpa;positional_voting;0,968085106;0,762411348;0,475531915
25%;graph;user;5;aa;positional_voting;0,981382979;0,671808511;0,481161348
25%;graph;user;5;cn;positional_voting;0,984042553;0,683510638;0,478945035
25%;graph;user;5;ew;positional_voting;0,984042553;0,702659574;0,38962766
25%;graph;user;5;jn;positional_voting;0,994680851;0,714361702;0,393794326
25%;graph;user;5;pa;positional_voting;0,984042553;0,667021277;0,488253546
25%;graph;user;5;waa;positional_voting;0,989361702;0,677659574;0,475531915
25%;graph;user;5;wcn;positional_voting;0,989361702;0,677659574;0,475531915
25%;graph;user;5;wpa;positional_voting;0,989361702;0,67712766;0,475531915
25%;graph;user;10;aa;positional_voting;0,997340426;0,582978723;0,481161348
25%;graph;user;10;cn;positional_voting;0,997340426;0,581648936;0,478945035
25%;graph;user;10;ew;positional_voting;0,997340426;0,603989362;0,38962766
25%;graph;user;10;jn;positional_voting;1;0,59787234;0,393794326
25%;graph;user;10;pa;positional_voting;0,997340426;0,582978723;0,488253546
25%;graph;user;10;waa;positional_voting;0,994680851;0,584840426;0,475531915
25%;graph;user;10;wcn;positional_voting;0,994680851;0,584840426;0,475531915
25%;graph;user;10;wpa;positional_voting;0,994680851;0,584574468;0,475531915
50%;graph;item;3;aa;highest-similarity;0,992248062;0,69250646;0,661200191
50%;graph;item;3;cn;highest-similarity;0,992248062;0,697674419;0,656592094
50%;graph;item;3;ew;highest-similarity;0,984496124;0,645994832;0,653671673
50%;graph;item;3;jn;highest-similarity;0,976744186;0,69250646;0,655549833
50%;graph;item;3;pa;highest-similarity;0,992248062;0,69250646;0,656592094
50%;graph;item;3;waa;highest-similarity;0,992248062;0,671834625;0,648954813
50%;graph;item;3;wcn;highest-similarity;0,992248062;0,666666667;0,648954813
50%;graph;item;3;wpa;highest-similarity;0,992248062;0,666666667;0,648770244
50%;graph;item;5;aa;highest-similarity;1;0,658914729;0,661200191
50%;graph;item;5;cn;highest-similarity;1;0,685271318;0,656592094
50%;graph;item;5;ew;highest-similarity;1;0,696124031;0,653671673
50%;graph;item;5;jn;highest-similarity;0,992248062;0,691472868;0,655549833
50%;graph;item;5;pa;highest-similarity;1;0,697674419;0,656592094
50%;graph;item;5;waa;highest-similarity;1;0,665116279;0,648954813
50%;graph;item;5;wcn;highest-similarity;1;0,674418605;0,648954813
50%;graph;item;5;wpa;highest-similarity;1;0,689922481;0,648770244
50%;graph;item;10;aa;highest-similarity;1;0,66124031;0,661200191
50%;graph;item;10;cn;highest-similarity;1;0,66124031;0,656592094
50%;graph;item;10;ew;highest-similarity;1;0,66124031;0,653671673
50%;graph;item;10;jn;highest-similarity;1;0,66124031;0,655549833
50%;graph;item;10;pa;highest-similarity;1;0,66124031;0,656592094
50%;graph;item;10;waa;highest-similarity;1;0,66124031;0,648954813
50%;graph;item;10;wcn;highest-similarity;1;0,66124031;0,648954813
50%;graph;item;10;wpa;highest-similarity;1;0,66124031;0,648770244
50%;graph;item;3;aa;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;cn;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;ew;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;jn;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;pa;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;waa;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;wcn;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;3;wpa;simple_voting;0,968992248;0,583979328;0,574489937
50%;graph;item;5;aa;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;cn;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;ew;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;jn;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;pa;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;waa;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;wcn;simple_voting;1;0,558139535;0,574489937
50%;graph;item;5;wpa;simple_voting;1;0,558139535;0,574489937
50%;graph;item;10;aa;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;cn;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;ew;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;jn;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;pa;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;waa;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;wcn;simple_voting;1;0,562790698;0,574489937
50%;graph;item;10;wpa;simple_voting;1;0,562790698;0,574489937
50%;graph;item;3;aa;weighted_voting;0,992248062;0,702842377;0,657555214
50%;graph;item;3;cn;weighted_voting;0,984496124;0,697674419;0,659810323
50%;graph;item;3;ew;weighted_voting;0,992248062;0,710594315;0,658772515
50%;graph;item;3;jn;weighted_voting;0,92248062;0,651162791;0,658318383
50%;graph;item;3;pa;weighted_voting;0,992248062;0,69250646;0,659810323
50%;graph;item;3;waa;weighted_voting;0,992248062;0,666666667;0,648954813
50%;graph;item;3;wcn;weighted_voting;0,992248062;0,666666667;0,649327503
50%;graph;item;3;wpa;weighted_voting;0,992248062;0,666666667;0,648770244
50%;graph;item;5;aa;weighted_voting;1;0,655813953;0,657555214
50%;graph;item;5;cn;weighted_voting;1;0,655813953;0,659810323
50%;graph;item;5;ew;weighted_voting;1;0,688372093;0,658772515
50%;graph;item;5;jn;weighted_voting;0,984496124;0,679069767;0,658318383
50%;graph;item;5;pa;weighted_voting;1;0,651162791;0,659810323
50%;graph;item;5;waa;weighted_voting;1;0,682170543;0,648954813
50%;graph;item;5;wcn;weighted_voting;1;0,685271318;0,649327503
50%;graph;item;5;wpa;weighted_voting;1;0,689922481;0,648770244
50%;graph;item;10;aa;weighted_voting;1;0,66124031;0,657555214
50%;graph;item;10;cn;weighted_voting;1;0,66124031;0,659810323
50%;graph;item;10;ew;weighted_voting;1;0,66124031;0,658772515
50%;graph;item;10;jn;weighted_voting;1;0,66124031;0,658318383
50%;graph;item;10;pa;weighted_voting;1;0,66124031;0,659810323
50%;graph;item;10;waa;weighted_voting;1;0,66124031;0,648954813
50%;graph;item;10;wcn;weighted_voting;1;0,66124031;0,649327503
50%;graph;item;10;wpa;weighted_voting;1;0,66124031;0,648770244
50%;graph;item;3;aa;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;cn;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;ew;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;jn;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;pa;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;waa;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;wcn;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;3;wpa;positional_voting;0,953488372;0,604651163;0,5326495
50%;graph;item;5;aa;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;cn;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;ew;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;jn;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;pa;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;waa;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;wcn;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;5;wpa;positional_voting;0,984496124;0,575193798;0,5326495
50%;graph;item;10;aa;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;cn;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;ew;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;jn;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;pa;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;waa;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;wcn;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;item;10;wpa;positional_voting;0,992248062;0,545736434;0,5326495
50%;graph;user;3;aa;highest-similarity;0,930232558;0,573643411;0,427002584
50%;graph;user;3;cn;highest-similarity;0,930232558;0,573643411;0,427002584
50%;graph;user;3;ew;highest-similarity;0,968992248;0,679586563;0,216408269
50%;graph;user;3;jn;highest-similarity;0,930232558;0,57881137;0,406330749
50%;graph;user;3;pa;highest-similarity;0,92248062;0,560723514;0,435400517
50%;graph;user;3;waa;highest-similarity;0,937984496;0,617571059;0,400516796
50%;graph;user;3;wcn;highest-similarity;0,937984496;0,617571059;0,400516796
50%;graph;user;3;wpa;highest-similarity;0,937984496;0,61498708;0,404392765
50%;graph;user;5;aa;highest-similarity;1;0,651162791;0,427002584
50%;graph;user;5;cn;highest-similarity;1;0,651162791;0,427002584
50%;graph;user;5;ew;highest-similarity;1;0,669767442;0,216408269
50%;graph;user;5;jn;highest-similarity;1;0,637209302;0,406330749
50%;graph;user;5;pa;highest-similarity;1;0,648062016;0,435400517
50%;graph;user;5;waa;highest-similarity;0,984496124;0,641860465;0,400516796
50%;graph;user;5;wcn;highest-similarity;0,984496124;0,641860465;0,400516796
50%;graph;user;5;wpa;highest-similarity;0,984496124;0,640310078;0,404392765
50%;graph;user;10;aa;highest-similarity;1;0,639534884;0,427002584
50%;graph;user;10;cn;highest-similarity;1;0,639534884;0,427002584
50%;graph;user;10;ew;highest-similarity;1;0,655813953;0,216408269
50%;graph;user;10;jn;highest-similarity;1;0,631007752;0,406330749
50%;graph;user;10;pa;highest-similarity;1;0,637209302;0,435400517
50%;graph;user;10;waa;highest-similarity;1;0,618604651;0,400516796
50%;graph;user;10;wcn;highest-similarity;1;0,618604651;0,400516796
50%;graph;user;10;wpa;highest-similarity;1;0,617829457;0,404392765
50%;graph;user;3;aa;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;cn;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;ew;simple_voting;0,992248062;0,679586563;0,364341085
50%;graph;user;3;jn;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;pa;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;waa;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;wcn;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;wpa;simple_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;5;aa;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;cn;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;ew;simple_voting;1;0,680620155;0,364341085
50%;graph;user;5;jn;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;pa;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;waa;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;wcn;simple_voting;1;0,674418605;0,364341085
50%;graph;user;5;wpa;simple_voting;1;0,674418605;0,364341085
50%;graph;user;10;aa;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;cn;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;ew;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;jn;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;pa;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;waa;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;wcn;simple_voting;1;0,66124031;0,364341085
50%;graph;user;10;wpa;simple_voting;1;0,66124031;0,364341085
50%;graph;user;3;aa;weighted_voting;0,992248062;0,736434109;0,364341085
50%;graph;user;3;cn;weighted_voting;0,992248062;0,736434109;0,364341085
50%;graph;user;3;ew;weighted_voting;0,992248062;0,710594315;0,364341085
50%;graph;user;3;jn;weighted_voting;0,992248062;0,736434109;0,364341085
50%;graph;user;3;pa;weighted_voting;1;0,741602067;0,364341085
50%;graph;user;3;waa;weighted_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;wcn;weighted_voting;0,992248062;0,682170543;0,364341085
50%;graph;user;3;wpa;weighted_voting;0,992248062;0,666666667;0,364341085
50%;graph;user;5;aa;weighted_voting;1;0,674418605;0,364341085
50%;graph;user;5;cn;weighted_voting;1;0,674418605;0,364341085
50%;graph;user;5;ew;weighted_voting;1;0,688372093;0,364341085
50%;graph;user;5;jn;weighted_voting;1;0,674418605;0,364341085
50%;graph;user;5;pa;weighted_voting;1;0,674418605;0,364341085
50%;graph;user;5;waa;weighted_voting;1;0,67751938;0,364341085
50%;graph;user;5;wcn;weighted_voting;1;0,67751938;0,364341085
50%;graph;user;5;wpa;weighted_voting;1;0,682170543;0,364341085
50%;graph;user;10;aa;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;cn;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;ew;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;jn;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;pa;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;waa;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;wcn;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;10;wpa;weighted_voting;1;0,66124031;0,364341085
50%;graph;user;3;aa;positional_voting;0,984496124;0,720930233;0,400516796
50%;graph;user;3;cn;positional_voting;0,984496124;0,720930233;0,439276486
50%;graph;user;3;ew;positional_voting;0,984496124;0,76744186;0,312015504
50%;graph;user;3;jn;positional_voting;0,968992248;0,726098191;0,429586563
50%;graph;user;3;pa;positional_voting;0,984496124;0,728682171;0,38501292
50%;graph;user;3;waa;positional_voting;0,984496124;0,687338501;0,419250646
50%;graph;user;3;wcn;positional_voting;0,984496124;0,687338501;0,419250646
50%;graph;user;3;wpa;positional_voting;0,984496124;0,689922481;0,416666667
50%;graph;user;5;aa;positional_voting;1;0,685271318;0,400516796
50%;graph;user;5;cn;positional_voting;1;0,685271318;0,439276486
50%;graph;user;5;ew;positional_voting;1;0,719379845;0,312015504
50%;graph;user;5;jn;positional_voting;1;0,689922481;0,429586563
50%;graph;user;5;pa;positional_voting;1;0,68372093;0,38501292
50%;graph;user;5;waa;positional_voting;1;0,689922481;0,419250646
50%;graph;user;5;wcn;positional_voting;1;0,689922481;0,419250646
50%;graph;user;5;wpa;positional_voting;1;0,689922481;0,416666667
50%;graph;user;10;aa;positional_voting;1;0,654263566;0,400516796
50%;graph;user;10;cn;positional_voting;1;0,653488372;0,439276486
50%;graph;user;10;ew;positional_voting;1;0,679069767;0,312015504
50%;graph;user;10;jn;positional_voting;1;0,651937984;0,429586563
50%;graph;user;10;pa;positional_voting;1;0,655813953;0,38501292
50%;graph;user;10;waa;positional_voting;1;0,655813953;0,419250646
50%;graph;user;10;wcn;positional_voting;1;0,655813953;0,419250646
50%;graph;user;10;wpa;positional_voting;1;0,65503876;0,416666667
12,50%;collaborative_filtering;item;3;pearson;no_aggregation;0,892976589;0,568561873;0,536001257
12,50%;collaborative_filtering;item;5;pearson;no_aggregation;0,943143813;0,531772575;0,536001257
12,50%;collaborative_filtering;item;10;pearson;no_aggregation;0,97826087;0,460702341;0,536001257
12,50%;collaborative_filtering;user;3;pearson;no_aggregation;0,897993311;0,566332219;0,11043602
12,50%;collaborative_filtering;user;5;pearson;no_aggregation;0,956521739;0,546153846;0,11043602
12,50%;collaborative_filtering;user;10;pearson;no_aggregation;0,993311037;0,467391304;0,11043602
25%;collaborative_filtering;item;3;pearson;no_aggregation;0,978723404;0,766843972;0,626482663
25%;collaborative_filtering;item;5;pearson;no_aggregation;0,992021277;0,684574468;0,626482663
25%;collaborative_filtering;item;10;pearson;no_aggregation;0,997340426;0,593882979;0,626482663
25%;collaborative_filtering;user;3;pearson;no_aggregation;0,946808511;0,644503546;0,127276879
25%;collaborative_filtering;user;5;pearson;no_aggregation;0,986702128;0,644148936;0,127276879
25%;collaborative_filtering;user;10;pearson;no_aggregation;1;0,596542553;0,127276879
50%;collaborative_filtering;item;3;pearson;no_aggregation;0,953488372;0,708010336;0,665372698
50%;collaborative_filtering;item;5;pearson;no_aggregation;1;0,703875969;0,665372698
50%;collaborative_filtering;item;10;pearson;no_aggregation;1;0,665116279;0,665372698
50%;collaborative_filtering;user;3;pearson;no_aggregation;0,953488372;0,695090439;0,158752015
50%;collaborative_filtering;user;5;pearson;no_aggregation;1;0,68372093;0,158752015
50%;collaborative_filtering;user;10;pearson;no_aggregation;1;0,656589147;0,158752015
12,50%;decision_tree;item;3;no_sim_measure;no_aggregation;0,600334448;0,357302118;0,215580243
12,50%;decision_tree;item;5;no_sim_measure;no_aggregation;0,635451505;0,289297659;0,215580243
12,50%;decision_tree;item;10;no_sim_measure;no_aggregation;0,643812709;0,177424749;0,215580243
12,50%;decision_tree;user;3;no_sim_measure;no_aggregation;0,596989967;0,352285396;0,052766592
12,50%;decision_tree;user;5;no_sim_measure;no_aggregation;0,633779264;0,28729097;0,052766592
12,50%;decision_tree;user;10;no_sim_measure;no_aggregation;0,642140468;0,177424749;0,052766592
25%;decision_tree;item;3;no_sim_measure;no_aggregation;0,880319149;0,581560284;0,337786702
25%;decision_tree;item;5;no_sim_measure;no_aggregation;0,941489362;0,506914894;0,337786702
25%;decision_tree;item;10;no_sim_measure;no_aggregation;0,946808511;0,332978723;0,337786702
25%;decision_tree;user;3;no_sim_measure;no_aggregation;0,880319149;0,581560284;0,065209873
25%;decision_tree;user;5;no_sim_measure;no_aggregation;0,941489362;0,507446809;0,065209873
25%;decision_tree;user;10;no_sim_measure;no_aggregation;0,946808511;0,333244681;0,065209873
50%;decision_tree;item;3;no_sim_measure;no_aggregation;0,96124031;0,682170543;0,382485989
50%;decision_tree;item;5;no_sim_measure;no_aggregation;0,976744186;0,613953488;0,382485989
50%;decision_tree;item;10;no_sim_measure;no_aggregation;0,976744186;0,400775194;0,382485989
50%;decision_tree;user;3;no_sim_measure;no_aggregation;0,96124031;0,679586563;0,094870612
50%;decision_tree;user;5;no_sim_measure;no_aggregation;0,976744186;0,613953488;0,094870612
50%;decision_tree;user;10;no_sim_measure;no_aggregation;0,976744186;0,400775194;0,094870612
12,50%;naive_bayes;item;3;no_sim_measure;no_aggregation;0,523411371;0,308249721;0,229995691
12,50%;naive_bayes;item;5;no_sim_measure;no_aggregation;0,538461538;0,252842809;0,229995691
12,50%;naive_bayes;item;10;no_sim_measure;no_aggregation;0,573578595;0,199832776;0,229995691
12,50%;naive_bayes;user;3;no_sim_measure;no_aggregation;0,523411371;0,308249721;0,053904341
12,50%;naive_bayes;user;5;no_sim_measure;no_aggregation;0,538461538;0,252842809;0,053904341
12,50%;naive_bayes;user;10;no_sim_measure;no_aggregation;0,573578595;0,199832776;0,053904341
25%;naive_bayes;item;3;no_sim_measure;no_aggregation;0,755319149;0,477836879;0,328711457
25%;naive_bayes;item;5;no_sim_measure;no_aggregation;0,803191489;0,425;0,328711457
25%;naive_bayes;item;10;no_sim_measure;no_aggregation;0,819148936;0,328191489;0,328711457
25%;naive_bayes;user;3;no_sim_measure;no_aggregation;0,755319149;0,477836879;0,068081212
25%;naive_bayes;user;5;no_sim_measure;no_aggregation;0,803191489;0,425;0,068081212
25%;naive_bayes;user;10;no_sim_measure;no_aggregation;0,819148936;0,328191489;0,068081212
50%;naive_bayes;item;3;no_sim_measure;no_aggregation;0,945736434;0,625322997;0,409009552
50%;naive_bayes;item;5;no_sim_measure;no_aggregation;0,984496124;0,586046512;0,409009552
50%;naive_bayes;item;10;no_sim_measure;no_aggregation;0,984496124;0,435658915;0,409009552
50%;naive_bayes;user;3;no_sim_measure;no_aggregation;0,945736434;0,625322997;0,109025277
50%;naive_bayes;user;5;no_sim_measure;no_aggregation;0,984496124;0,586046512;0,109025277
50%;naive_bayes;user;10;no_sim_measure;no_aggregation;0,984496124;0,435658915;0,109025277
12,50%;neural_network;item;3;no_sim_measure;no_aggregation;0,596989967;0,353400223;0,210552089
12,50%;neural_network;item;5;no_sim_measure;no_aggregation;0,632107023;0,282943144;0,210552089
12,50%;neural_network;item;10;no_sim_measure;no_aggregation;0,640468227;0,172240803;0,210552089
12,50%;neural_network;user;3;no_sim_measure;no_aggregation;0,596989967;0,353400223;0,053361352
12,50%;neural_network;user;5;no_sim_measure;no_aggregation;0,632107023;0,282943144;0,053361352
12,50%;neural_network;user;10;no_sim_measure;no_aggregation;0,640468227;0,172240803;0,053361352
25%;neural_network;item;3;no_sim_measure;no_aggregation;0,877659574;0,580673759;0,337330775
25%;neural_network;item;5;no_sim_measure;no_aggregation;0,941489362;0,506914894;0,337330775
25%;neural_network;item;10;no_sim_measure;no_aggregation;0,946808511;0,332712766;0,337330775
25%;neural_network;user;3;no_sim_measure;no_aggregation;0,877659574;0,580673759;0,065209873
25%;neural_network;user;5;no_sim_measure;no_aggregation;0,941489362;0,506914894;0,065209873
25%;neural_network;user;10;no_sim_measure;no_aggregation;0,946808511;0,332712766;0,065209873
50%;neural_network;item;3;no_sim_measure;no_aggregation;0,96124031;0,677002584;0,381516997
50%;neural_network;item;5;no_sim_measure;no_aggregation;0,976744186;0,612403101;0,381516997
50%;neural_network;item;10;no_sim_measure;no_aggregation;0,976744186;0,4;0,381516997
50%;neural_network;user;3;no_sim_measure;no_aggregation;0,96124031;0,677002584;0,094870612
50%;neural_network;user;5;no_sim_measure;no_aggregation;0,976744186;0,612403101;0,094870612
50%;neural_network;user;10;no_sim_measure;no_aggregation;0,976744186;0,4;0,094870612
12,50%;random-forest;item;3;no_sim_measure;no_aggregation;0,578595318;0,342809365;0,197064699
12,50%;random-forest;item;5;no_sim_measure;no_aggregation;0,613712375;0,272575251;0,197064699
12,50%;random-forest;item;10;no_sim_measure;no_aggregation;0,622073579;0,16187291;0,197064699
12,50%;random-forest;user;3;no_sim_measure;no_aggregation;0,575250836;0,342251951;0,048771709
12,50%;random-forest;user;5;no_sim_measure;no_aggregation;0,610367893;0,271571906;0,048771709
12,50%;random-forest;user;10;no_sim_measure;no_aggregation;0,618729097;0,16187291;0,048771709
25%;random-forest;item;3;no_sim_measure;no_aggregation;0,880319149;0,581560284;0,337254788
25%;random-forest;item;5;no_sim_measure;no_aggregation;0,941489362;0,507446809;0,337254788
25%;random-forest;item;10;no_sim_measure;no_aggregation;0,946808511;0,332446809;0,337254788
25%;random-forest;user;3;no_sim_measure;no_aggregation;0,880319149;0,581560284;0,065209873
25%;random-forest;user;5;no_sim_measure;no_aggregation;0,941489362;0,506914894;0,065209873
25%;random-forest;user;10;no_sim_measure;no_aggregation;0,946808511;0,332180851;0,065209873
50%;random-forest;item;3;no_sim_measure;no_aggregation;0,953488372;0,674418605;0,379579013
50%;random-forest;item;5;no_sim_measure;no_aggregation;0,968992248;0,609302326;0,379579013
50%;random-forest;item;10;no_sim_measure;no_aggregation;0,968992248;0,398449612;0,379579013
50%;random-forest;user;3;no_sim_measure;no_aggregation;0,953488372;0,674418605;0,094870612
50%;random-forest;user;5;no_sim_measure;no_aggregation;0,968992248;0,609302326;0,094870612
50%;random-forest;user;10;no_sim_measure;no_aggregation;0,968992248;0,398449612;0,094870612
12,50%;svm;item;3;no_sim_measure;no_aggregation;0,516722408;0,303232999;0,170554521
12,50%;svm;item;5;no_sim_measure;no_aggregation;0,540133779;0,235451505;0,170554521
12,50%;svm;item;10;no_sim_measure;no_aggregation;0,545150502;0,139464883;0,170554521
12,50%;svm;user;3;no_sim_measure;no_aggregation;0,516722408;0,303232999;0,043066301
12,50%;svm;user;5;no_sim_measure;no_aggregation;0,540133779;0,235451505;0,043066301
12,50%;svm;user;10;no_sim_measure;no_aggregation;0,545150502;0,139464883;0,043066301
25%;svm;item;3;no_sim_measure;no_aggregation;0,875;0,560283688;0,313123388
25%;svm;item;5;no_sim_measure;no_aggregation;0,925531915;0,473404255;0,313123388
25%;svm;item;10;no_sim_measure;no_aggregation;0,930851064;0,303989362;0,313123388
25%;svm;user;3;no_sim_measure;no_aggregation;0,875;0,560283688;0,061131607
25%;svm;user;5;no_sim_measure;no_aggregation;0,925531915;0,473404255;0,061131607
25%;svm;user;10;no_sim_measure;no_aggregation;0,930851064;0,303989362;0,061131607
50%;svm;item;3;no_sim_measure;no_aggregation;0,96124031;0,664082687;0,361563157
50%;svm;item;5;no_sim_measure;no_aggregation;0,96124031;0,59379845;0,361563157
50%;svm;item;10;no_sim_measure;no_aggregation;0,96124031;0,375193798;0,361563157
50%;svm;user;3;no_sim_measure;no_aggregation;0,96124031;0,664082687;0,091037709
50%;svm;user;5;no_sim_measure;no_aggregation;0,96124031;0,59379845;0,091037709
50%;svm;user;10;no_sim_measure;no_aggregation;0,96124031;0,375193798;0,091037709
