experiment;approach;model;k;sim_measure;agg_method;OneHit;PrecisionK;R-Precision
12,50%;graph;item;10;waa;weighted_voting;0,89632107;0,413712375;0,461781117
12,50%;graph;item;10;wcn;weighted_voting;0,89632107;0,414046823;0,461781117
12,50%;graph;item;10;wpa;weighted_voting;0,89632107;0,414046823;0,461781117
12,50%;graph;item;3;aa;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;cn;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;ew;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;jn;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;pa;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;waa;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;wcn;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;3;wpa;positional_voting;0,580267559;0,317168339;0,299953398
12,50%;graph;item;5;aa;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;cn;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;ew;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;jn;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;pa;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;waa;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;wcn;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;5;wpa;positional_voting;0,727424749;0,316053512;0,299953398
12,50%;graph;item;10;aa;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;cn;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;ew;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;jn;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;pa;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;waa;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;wcn;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;item;10;wpa;positional_voting;0,906354515;0,322073579;0,299953398
12,50%;graph;user;3;aa;highest-similarity;0,607023411;0,356187291;0,200716693
12,50%;graph;user;3;cn;highest-similarity;0,70735786;0,425863991;0,271771038
12,50%;graph;user;3;ew;highest-similarity;0,697324415;0,423634337;0,254653095
12,50%;graph;user;3;jn;highest-similarity;0,87458194;0,540691193;0,347099881
12,50%;graph;user;3;pa;highest-similarity;0,573578595;0,34057971;0,196465872
12,50%;graph;user;3;waa;highest-similarity;0,593645485;0,341137124;0,190112039
12,50%;graph;user;3;wcn;highest-similarity;0,591973244;0,34057971;0,190251392
12,50%;graph;user;3;wpa;highest-similarity;0,586956522;0,338350056;0,188447761
